state,date,price,macd_12,macd_26,ema_100,rsi_6,opening_0,closing_0,min_0,max_0,opening_1,closing_1,min_1,max_1,opening_2,closing_2,min_2,max_2,opening_3,closing_3,min_3,max_3,opening_4,closing_4,min_4,max_4,opening_5,closing_5,min_5,max_5,opening_6,closing_6,min_6,max_6,opening_7,closing_7,min_7,max_7,opening_8,closing_8,min_8,max_8,opening_9,closing_9,min_9,max_9,opening_10,closing_10,min_10,max_10,opening_11,closing_11,min_11,max_11,opening_12,closing_12,min_12,max_12,opening_13,closing_13,min_13,max_13,opening_14,closing_14,min_14,max_14
SHORT,2024-01-09 03:33:04,2313.36,4.565721692799343,13.590674348715675,2280.009133911633,22.252598361286882,2336.39,2333.69,2332.71,2338.76,2333.69,2336.59,2333.68,2341.32,2336.59,2345.22,2335.88,2347.39,2345.23,2337.08,2336.5,2346.06,2337.08,2338.38,2332.9,2339.98,2338.38,2337.1,2334.14,2342.57,2337.1,2337.02,2333.48,2337.43,2337.01,2337.63,2335.23,2338.0,2337.63,2333.58,2325.36,2337.63,2333.58,2329.31,2327.78,2335.38,2329.31,2329.31,2327.0,2330.53,2329.31,2330.44,2328.96,2332.46,2330.43,2335.67,2327.0,2336.7,2335.66,2321.73,2316.75,2335.88,2321.73,2314.31,2308.2,2323.91
LONG,2024-01-09 03:37:54,2297.65,3.3380293851068927,13.499734177775494,2279.665371535395,14.137103218581187,2336.39,2333.69,2332.71,2338.76,2333.69,2336.59,2333.68,2341.32,2336.59,2345.22,2335.88,2347.39,2345.23,2337.08,2336.5,2346.06,2337.08,2338.38,2332.9,2339.98,2338.38,2337.1,2334.14,2342.57,2337.1,2337.02,2333.48,2337.43,2337.01,2337.63,2335.23,2338.0,2337.63,2333.58,2325.36,2337.63,2333.58,2329.31,2327.78,2335.38,2329.31,2329.31,2327.0,2330.53,2329.31,2330.44,2328.96,2332.46,2330.43,2335.67,2327.0,2336.7,2335.66,2321.73,2316.75,2335.88,2321.73,2296.34,2296.01,2323.91
LONG,2024-01-09 03:56:26,2307.39,2.0602231699053846,12.698924061888015,2280.3927663937275,19.429058960133087,2333.69,2336.59,2333.68,2341.32,2336.59,2345.22,2335.88,2347.39,2345.23,2337.08,2336.5,2346.06,2337.08,2338.38,2332.9,2339.98,2338.38,2337.1,2334.14,2342.57,2337.1,2337.02,2333.48,2337.43,2337.01,2337.63,2335.23,2338.0,2337.63,2333.58,2325.36,2337.63,2333.58,2329.31,2327.78,2335.38,2329.31,2329.31,2327.0,2330.53,2329.31,2330.44,2328.96,2332.46,2330.43,2335.67,2327.0,2336.7,2335.66,2321.73,2316.75,2335.88,2321.73,2306.41,2289.98,2323.91,2306.41,2307.13,2296.13,2308.7
SHORT,2024-01-09 08:02:53,2318.09,-1.663471851079521,1.5845946543442242,2289.0220042029496,66.23226702067997,2302.68,2301.46,2296.56,2304.1,2301.46,2309.36,2297.92,2309.63,2309.35,2307.69,2306.0,2312.23,2307.68,2312.72,2307.68,2315.41,2312.73,2314.57,2310.22,2316.6,2314.57,2312.1,2310.29,2315.75,2312.09,2308.78,2307.02,2312.4,2308.8,2313.97,2307.3,2314.69,2313.98,2311.69,2310.83,2314.42,2311.69,2309.13,2308.67,2312.9,2309.12,2306.31,2303.9,2310.88,2306.3,2305.28,2300.4,2306.8,2305.27,2311.99,2304.32,2312.34,2312.0,2315.2,2311.78,2318.0,2315.2,2318.08,2315.14,2319.01
SHORT,2024-01-09 08:42:31,2305.34,-2.5367091783605247,0.9778201850374533,2289.59389735864,36.249763310176,2309.35,2307.69,2306.0,2312.23,2307.68,2312.72,2307.68,2315.41,2312.73,2314.57,2310.22,2316.6,2314.57,2312.1,2310.29,2315.75,2312.09,2308.78,2307.02,2312.4,2308.8,2313.97,2307.3,2314.69,2313.98,2311.69,2310.83,2314.42,2311.69,2309.13,2308.67,2312.9,2309.12,2306.31,2303.9,2310.88,2306.3,2305.28,2300.4,2306.8,2305.27,2311.99,2304.32,2312.34,2312.0,2315.2,2311.78,2318.0,2315.2,2310.31,2310.3,2319.01,2310.3,2309.75,2308.42,2312.2,2309.76,2305.05,2304.96,2312.07
SHORT,2024-01-09 11:54:51,2294.22,-3.4254919147124383,-1.4452413271565068,2292.8210679148588,28.866076454998513,2310.3,2309.75,2308.42,2312.2,2309.76,2304.61,2303.34,2312.07,2304.62,2308.77,2301.4,2308.89,2308.77,2307.43,2301.53,2309.08,2307.43,2303.53,2302.21,2307.73,2303.54,2301.91,2299.77,2304.48,2301.91,2302.0,2297.26,2304.28,2302.0,2302.19,2298.58,2302.62,2302.2,2309.23,2300.72,2310.64,2309.24,2306.76,2305.9,2309.63,2306.76,2306.05,2306.04,2308.64,2306.05,2302.63,2300.48,2306.05,2302.62,2307.48,2302.62,2311.3,2307.49,2298.23,2296.4,2307.49,2298.23,2294.47,2292.86,2301.19
LONG,2024-01-09 15:56:35,2263.1,-4.772160966735555,-2.946840344746647,2292.9698812431657,16.34700869724487,2293.38,2292.74,2286.35,2296.43,2292.75,2293.31,2292.04,2296.78,2293.3,2291.37,2285.4,2294.59,2291.37,2296.52,2290.23,2297.8,2296.51,2298.64,2296.07,2301.73,2298.63,2298.0,2296.45,2299.88,2297.99,2292.4,2289.0,2298.0,2292.4,2297.32,2291.73,2299.0,2297.32,2301.12,2297.32,2303.09,2301.12,2291.58,2289.76,2302.0,2291.58,2298.76,2289.14,2299.78,2298.77,2302.48,2297.78,2304.21,2302.48,2298.47,2296.73,2303.93,2298.46,2293.87,2292.31,2299.06,2293.86,2252.0,2251.0,2303.0
LONG,2024-01-09 15:57:52,2265.84,-4.562360396934764,-2.9312995617984403,2293.0815644114823,18.730875347832068,2293.38,2292.74,2286.35,2296.43,2292.75,2293.31,2292.04,2296.78,2293.3,2291.37,2285.4,2294.59,2291.37,2296.52,2290.23,2297.8,2296.51,2298.64,2296.07,2301.73,2298.63,2298.0,2296.45,2299.88,2297.99,2292.4,2289.0,2298.0,2292.4,2297.32,2291.73,2299.0,2297.32,2301.12,2297.32,2303.09,2301.12,2291.58,2289.76,2302.0,2291.58,2298.76,2289.14,2299.78,2298.77,2302.48,2297.78,2304.21,2302.48,2298.47,2296.73,2303.93,2298.46,2293.87,2292.31,2299.06,2293.86,2264.32,2226.78,2303.0
SHORT,2024-01-09 16:01:55,2278.8,-5.564963776791046,-3.1400094267383993,2292.7462564994034,35.56382475176655,2292.75,2293.31,2292.04,2296.78,2293.3,2291.37,2285.4,2294.59,2291.37,2296.52,2290.23,2297.8,2296.51,2298.64,2296.07,2301.73,2298.63,2298.0,2296.45,2299.88,2297.99,2292.4,2289.0,2298.0,2292.4,2297.32,2291.73,2299.0,2297.32,2301.12,2297.32,2303.09,2301.12,2291.58,2289.76,2302.0,2291.58,2298.76,2289.14,2299.78,2298.77,2302.48,2297.78,2304.21,2302.48,2298.47,2296.73,2303.93,2298.46,2293.87,2292.31,2299.06,2293.86,2264.2,2226.78,2303.0,2264.2,2275.72,2260.7,2281.0
LONG,2024-01-27 01:38:44,2266.13,1.2782161222944524,3.532550755016011,2243.5896633141,69.23332683462861,2266.8,2262.81,2260.62,2267.09,2262.81,2263.62,2261.12,2264.75,2263.61,2255.17,2254.9,2263.62,2255.17,2258.51,2251.07,2259.33,2258.51,2261.61,2256.55,2262.69,2261.62,2257.78,2254.0,2262.4,2257.78,2256.59,2252.49,2258.59,2256.59,2258.6,2252.88,2259.4,2258.6,2255.05,2253.0,2259.16,2255.05,2254.35,2253.16,2256.06,2254.36,2254.5,2253.9,2256.31,2254.5,2259.87,2254.5,2260.87,2259.86,2264.43,2258.01,2264.43,2264.42,2265.65,2263.19,2269.35,2265.66,2266.14,2264.16,2266.14
LONG,2024-01-27 01:40:17,2267.69,1.4018628459411957,3.5417097715824366,2243.620158363605,72.18373605979669,2266.8,2262.81,2260.62,2267.09,2262.81,2263.62,2261.12,2264.75,2263.61,2255.17,2254.9,2263.62,2255.17,2258.51,2251.07,2259.33,2258.51,2261.61,2256.55,2262.69,2261.62,2257.78,2254.0,2262.4,2257.78,2256.59,2252.49,2258.59,2256.59,2258.6,2252.88,2259.4,2258.6,2255.05,2253.0,2259.16,2255.05,2254.35,2253.16,2256.06,2254.36,2254.5,2253.9,2256.31,2254.5,2259.87,2254.5,2260.87,2259.86,2264.43,2258.01,2264.43,2264.42,2265.65,2263.19,2269.35,2265.66,2267.68,2264.16,2267.69
LONG,2024-01-27 01:51:54,2270.38,1.9301981224612064,3.4164842087287273,2244.129481764306,77.09299756343835,2262.81,2263.62,2261.12,2264.75,2263.61,2255.17,2254.9,2263.62,2255.17,2258.51,2251.07,2259.33,2258.51,2261.61,2256.55,2262.69,2261.62,2257.78,2254.0,2262.4,2257.78,2256.59,2252.49,2258.59,2256.59,2258.6,2252.88,2259.4,2258.6,2255.05,2253.0,2259.16,2255.05,2254.35,2253.16,2256.06,2254.36,2254.5,2253.9,2256.31,2254.5,2259.87,2254.5,2260.87,2259.86,2264.43,2258.01,2264.43,2264.42,2265.65,2263.19,2269.35,2265.66,2266.62,2264.16,2268.18,2266.62,2270.39,2266.57,2270.39
SHORT,2024-01-27 01:55:58,2268.16,1.7531041053675835,3.4033661333884586,2244.085521368266,73.4768061266647,2262.81,2263.62,2261.12,2264.75,2263.61,2255.17,2254.9,2263.62,2255.17,2258.51,2251.07,2259.33,2258.51,2261.61,2256.55,2262.69,2261.62,2257.78,2254.0,2262.4,2257.78,2256.59,2252.49,2258.59,2256.59,2258.6,2252.88,2259.4,2258.6,2255.05,2253.0,2259.16,2255.05,2254.35,2253.16,2256.06,2254.36,2254.5,2253.9,2256.31,2254.5,2259.87,2254.5,2260.87,2259.86,2264.43,2258.01,2264.43,2264.42,2265.65,2263.19,2269.35,2265.66,2266.62,2264.16,2268.18,2266.62,2268.17,2266.57,2272.0
LONG,2024-01-27 01:58:24,2265.6,1.548887581150666,3.388238983446465,2244.0348282989594,64.9664896414184,2262.81,2263.62,2261.12,2264.75,2263.61,2255.17,2254.9,2263.62,2255.17,2258.51,2251.07,2259.33,2258.51,2261.61,2256.55,2262.69,2261.62,2257.78,2254.0,2262.4,2257.78,2256.59,2252.49,2258.59,2256.59,2258.6,2252.88,2259.4,2258.6,2255.05,2253.0,2259.16,2255.05,2254.35,2253.16,2256.06,2254.36,2254.5,2253.9,2256.31,2254.5,2259.87,2254.5,2260.87,2259.86,2264.43,2258.01,2264.43,2264.42,2265.65,2263.19,2269.35,2265.66,2266.62,2264.16,2268.18,2266.62,2266.11,2265.6,2272.0
LONG,2024-01-27 02:01:08,2268.21,2.067546069330092,3.303595798604568,2244.559332238143,73.55543174243988,2263.61,2255.17,2254.9,2263.62,2255.17,2258.51,2251.07,2259.33,2258.51,2261.61,2256.55,2262.69,2261.62,2257.78,2254.0,2262.4,2257.78,2256.59,2252.49,2258.59,2256.59,2258.6,2252.88,2259.4,2258.6,2255.05,2253.0,2259.16,2255.05,2254.35,2253.16,2256.06,2254.36,2254.5,2253.9,2256.31,2254.5,2259.87,2254.5,2260.87,2259.86,2264.43,2258.01,2264.43,2264.42,2265.65,2263.19,2269.35,2265.66,2266.62,2264.16,2268.18,2266.62,2268.01,2265.6,2272.0,2268.01,2268.17,2267.93,2269.96
SHORT,2024-01-27 02:02:01,2269.8,2.1959791177632724,3.3131093577477664,2244.5916094658655,76.76340207474634,2263.61,2255.17,2254.9,2263.62,2255.17,2258.51,2251.07,2259.33,2258.51,2261.61,2256.55,2262.69,2261.62,2257.78,2254.0,2262.4,2257.78,2256.59,2252.49,2258.59,2256.59,2258.6,2252.88,2259.4,2258.6,2255.05,2253.0,2259.16,2255.05,2254.35,2253.16,2256.06,2254.36,2254.5,2253.9,2256.31,2254.5,2259.87,2254.5,2260.87,2259.86,2264.43,2258.01,2264.43,2264.42,2265.65,2263.19,2269.35,2265.66,2266.62,2264.16,2268.18,2266.62,2268.01,2265.6,2272.0,2268.01,2269.8,2267.93,2269.96
LONG,2024-01-27 02:03:26,2267.94,2.0484007701847986,3.302177628297509,2244.5520055054694,71.65407061776325,2263.61,2255.17,2254.9,2263.62,2255.17,2258.51,2251.07,2259.33,2258.51,2261.61,2256.55,2262.69,2261.62,2257.78,2254.0,2262.4,2257.78,2256.59,2252.49,2258.59,2256.59,2258.6,2252.88,2259.4,2258.6,2255.05,2253.0,2259.16,2255.05,2254.35,2253.16,2256.06,2254.36,2254.5,2253.9,2256.31,2254.5,2259.87,2254.5,2260.87,2259.86,2264.43,2258.01,2264.43,2264.42,2265.65,2263.19,2269.35,2265.66,2266.62,2264.16,2268.18,2266.62,2268.01,2265.6,2272.0,2268.01,2267.48,2267.48,2269.96
SHORT,2024-01-27 02:04:03,2268.8,2.1170047587888803,3.307259405231145,2244.5607183767565,73.68913946713698,2263.61,2255.17,2254.9,2263.62,2255.17,2258.51,2251.07,2259.33,2258.51,2261.61,2256.55,2262.69,2261.62,2257.78,2254.0,2262.4,2257.78,2256.59,2252.49,2258.59,2256.59,2258.6,2252.88,2259.4,2258.6,2255.05,2253.0,2259.16,2255.05,2254.35,2253.16,2256.06,2254.36,2254.5,2253.9,2256.31,2254.5,2259.87,2254.5,2260.87,2259.86,2264.43,2258.01,2264.43,2264.42,2265.65,2263.19,2269.35,2265.66,2266.62,2264.16,2268.18,2266.62,2268.01,2265.6,2272.0,2268.01,2268.22,2267.37,2269.96
SHORT,2024-01-27 02:05:27,2268.05,2.0340417958259422,3.3011140005672233,2244.54804510943,70.64458525868058,2263.61,2255.17,2254.9,2263.62,2255.17,2258.51,2251.07,2259.33,2258.51,2261.61,2256.55,2262.69,2261.62,2257.78,2254.0,2262.4,2257.78,2256.59,2252.49,2258.59,2256.59,2258.6,2252.88,2259.4,2258.6,2255.05,2253.0,2259.16,2255.05,2254.35,2253.16,2256.06,2254.36,2254.5,2253.9,2256.31,2254.5,2259.87,2254.5,2260.87,2259.86,2264.43,2258.01,2264.43,2264.42,2265.65,2263.19,2269.35,2265.66,2266.62,2264.16,2268.18,2266.62,2268.01,2265.6,2272.0,2268.01,2267.59,2267.37,2270.27
SHORT,2024-01-27 02:11:01,2265.45,1.8505660123501002,3.287523201791235,2244.5003223371527,58.24041261248068,2263.61,2255.17,2254.9,2263.62,2255.17,2258.51,2251.07,2259.33,2258.51,2261.61,2256.55,2262.69,2261.62,2257.78,2254.0,2262.4,2257.78,2256.59,2252.49,2258.59,2256.59,2258.6,2252.88,2259.4,2258.6,2255.05,2253.0,2259.16,2255.05,2254.35,2253.16,2256.06,2254.36,2254.5,2253.9,2256.31,2254.5,2259.87,2254.5,2260.87,2259.86,2264.43,2258.01,2264.43,2264.42,2265.65,2263.19,2269.35,2265.66,2266.62,2264.16,2268.18,2266.62,2268.01,2265.6,2272.0,2268.01,2264.53,2264.52,2270.27
LONG,2024-01-27 02:12:27,2264.31,1.7580303998147429,3.280668711973801,2244.4826985747764,56.13118850451095,2263.61,2255.17,2254.9,2263.62,2255.17,2258.51,2251.07,2259.33,2258.51,2261.61,2256.55,2262.69,2261.62,2257.78,2254.0,2262.4,2257.78,2256.59,2252.49,2258.59,2256.59,2258.6,2252.88,2259.4,2258.6,2255.05,2253.0,2259.16,2255.05,2254.35,2253.16,2256.06,2254.36,2254.5,2253.9,2256.31,2254.5,2259.87,2254.5,2260.87,2259.86,2264.43,2258.01,2264.43,2264.42,2265.65,2263.19,2269.35,2265.66,2266.62,2264.16,2268.18,2266.62,2268.01,2265.6,2272.0,2268.01,2264.46,2263.99,2270.27
LONG,2024-01-27 02:13:17,2265.34,1.8409933627772261,3.286814116637689,2244.5032926341823,58.16094005078079,2263.61,2255.17,2254.9,2263.62,2255.17,2258.51,2251.07,2259.33,2258.51,2261.61,2256.55,2262.69,2261.62,2257.78,2254.0,2262.4,2257.78,2256.59,2252.49,2258.59,2256.59,2258.6,2252.88,2259.4,2258.6,2255.05,2253.0,2259.16,2255.05,2254.35,2253.16,2256.06,2254.36,2254.5,2253.9,2256.31,2254.5,2259.87,2254.5,2260.87,2259.86,2264.43,2258.01,2264.43,2264.42,2265.65,2263.19,2269.35,2265.66,2266.62,2264.16,2268.18,2266.62,2268.01,2265.6,2272.0,2268.01,2265.0,2263.99,2270.27
LONG,2024-01-27 02:16:00,2265.01,1.8124208340659607,3.1736604374461326,2244.891624649465,56.76014386056403,2255.17,2258.51,2251.07,2259.33,2258.51,2261.61,2256.55,2262.69,2261.62,2257.78,2254.0,2262.4,2257.78,2256.59,2252.49,2258.59,2256.59,2258.6,2252.88,2259.4,2258.6,2255.05,2253.0,2259.16,2255.05,2254.35,2253.16,2256.06,2254.36,2254.5,2253.9,2256.31,2254.5,2259.87,2254.5,2260.87,2259.86,2264.43,2258.01,2264.43,2264.42,2265.65,2263.19,2269.35,2265.66,2266.62,2264.16,2268.18,2266.62,2268.01,2265.6,2272.0,2268.01,2264.62,2263.99,2270.27,2264.63,2264.64,2264.45,2266.61
SHORT,2024-01-27 02:17:39,2267.19,2.001480663125676,3.1876648692283336,2244.9387533623362,64.06194271279983,2255.17,2258.51,2251.07,2259.33,2258.51,2261.61,2256.55,2262.69,2261.62,2257.78,2254.0,2262.4,2257.78,2256.59,2252.49,2258.59,2256.59,2258.6,2252.88,2259.4,2258.6,2255.05,2253.0,2259.16,2255.05,2254.35,2253.16,2256.06,2254.36,2254.5,2253.9,2256.31,2254.5,2259.87,2254.5,2260.87,2259.86,2264.43,2258.01,2264.43,2264.42,2265.65,2263.19,2269.35,2265.66,2266.62,2264.16,2268.18,2266.62,2268.01,2265.6,2272.0,2268.01,2264.62,2263.99,2270.27,2264.63,2267.19,2264.45,2267.2
LONG,2024-01-27 02:21:20,2266.6,1.9592014608465433,3.1845330764669164,2244.920931580158,61.757346436918525,2255.17,2258.51,2251.07,2259.33,2258.51,2261.61,2256.55,2262.69,2261.62,2257.78,2254.0,2262.4,2257.78,2256.59,2252.49,2258.59,2256.59,2258.6,2252.88,2259.4,2258.6,2255.05,2253.0,2259.16,2255.05,2254.35,2253.16,2256.06,2254.36,2254.5,2253.9,2256.31,2254.5,2259.87,2254.5,2260.87,2259.86,2264.43,2258.01,2264.43,2264.42,2265.65,2263.19,2269.35,2265.66,2266.62,2264.16,2268.18,2266.62,2268.01,2265.6,2272.0,2268.01,2264.62,2263.99,2270.27,2264.63,2266.28,2264.45,2267.67
SHORT,2024-01-27 02:25:04,2267.14,1.9974920591371301,3.187369417081034,2244.9377632633264,63.94255203053619,2255.17,2258.51,2251.07,2259.33,2258.51,2261.61,2256.55,2262.69,2261.62,2257.78,2254.0,2262.4,2257.78,2256.59,2252.49,2258.59,2256.59,2258.6,2252.88,2259.4,2258.6,2255.05,2253.0,2259.16,2255.05,2254.35,2253.16,2256.06,2254.36,2254.5,2253.9,2256.31,2254.5,2259.87,2254.5,2260.87,2259.86,2264.43,2258.01,2264.43,2264.42,2265.65,2263.19,2269.35,2265.66,2266.62,2264.16,2268.18,2266.62,2268.01,2265.6,2272.0,2268.01,2264.62,2263.99,2270.27,2264.63,2267.14,2264.45,2267.67
LONG,2024-01-27 02:26:35,2266.12,1.9153268169716284,3.1812831028465522,2244.917565243524,60.98757852092771,2255.17,2258.51,2251.07,2259.33,2258.51,2261.61,2256.55,2262.69,2261.62,2257.78,2254.0,2262.4,2257.78,2256.59,2252.49,2258.59,2256.59,2258.6,2252.88,2259.4,2258.6,2255.05,2253.0,2259.16,2255.05,2254.35,2253.16,2256.06,2254.36,2254.5,2253.9,2256.31,2254.5,2259.87,2254.5,2260.87,2259.86,2264.43,2258.01,2264.43,2264.42,2265.65,2263.19,2269.35,2265.66,2266.62,2264.16,2268.18,2266.62,2268.01,2265.6,2272.0,2268.01,2264.62,2263.99,2270.27,2264.63,2266.0,2264.45,2267.67
